model,kid_mean,density_inception,coverage_inception
ArSDM,0.1462721824645996,0.6765527129173279,0.7753739356994629
Controlnet,0.14948689937591553,0.7999323010444641,0.7177350521087646
DFMGAN,0.16633044183254242,0.37080129981040955,0.5565527081489563
Derm-T2IM,0.10735371708869934,0.37304845452308655,0.6951923370361328
DreamBooth,0.11887496709823608,0.6241630911827087,0.711805522441864
LF-VAR,0.2822248637676239,0.6521474719047546,0.5861288905143738
LesionGen,0.12544727325439453,0.6509259343147278,0.7834758162498474
Siamese,0.1709565371274948,0.3230520188808441,0.5785790681838989
T2I-Adapter,0.14224345982074738,0.6730840802192688,0.7319979071617126
flow,0.0596703439950943,0.7637820243835449,0.84375
skin-disease-diffusion,0.3091196119785309,0.18798787891864777,0.2352207899093628
